英,汉
ok,"adj.〈口〉好；不错；可以；行；〈口〉好；对；可以；行
v.(O.K.'d) 签上 O.K.；(签上 O.K.)承认；批准；(O.K.'d) 签上 O.K.；同意；批准；核准
n.【女名】女子名；同意；阅讫；【女名】女子名；签认；阅讫；【女名】女子名；许可；阅讫"
name,"n.名称；名字；名声；名誉
v.命名；任命；给…取名；说出…的名称
adj.〈美口〉著名的；(作品等)据以取名的"
is,"v.是
abbr.(=island；isle)岛；群岛"
shoujiang,web.扌将
to,"prep.到；向；至；对于
infinmarker.应该；必须；表示目的或意图；表示结果
adv.关着；关闭；关上"
go,"v.去；走；离开；离去
n.干劲；活力；（游戏或活动中）轮到的机会；一番努力
adj.运行良好的；〈美口〉一切正常的；【宇】可随时发射的
abbr.(=General Orders)【军】一般命令；卫兵守则
linkv.变成
int.(赛跑口令)跑"
meet,"v.满足；迎接；遇见；相遇
n.运动会；体育比赛；猎狐运动（现在于英国用狗猎狐属违法行为）
adj.适合的"
you,pron.你；您；你们；大家
my,"int.哎呀；表示惊讶
adv.我的；表示吃惊等；表示亲切；对下级的称呼
abbr.(=Malaysia)马来西亚
pron.""I"" 的所有格形式"
nice,"n.尼斯
adj.令人愉快的；宜人的；吸引人的；用于形容词或副词前以加强语气"
growling,"adj.咆哮的；隆隆响的
v.“growl”的现在分词"
all,"pron.一切；全部；大家；全都
adj.一切；全；整个；全体
adv.都；全部；全身；那么
n.一切；全部；全体"
amish,"adj.阿门宗派的
n.阿曼门诺派（北美洲戒律严谨的宗教团体，过简朴的农耕生活，拒绝使用某些现代技术）"
instincts,"n.本能；天性
adj.充满的"
personally,adv.亲自；本人；就本人而言；就个人意见
amplifies,v.放大；详述；【电】增强(电流等)；夸大
silverware,n.银器；餐具（刀、叉和匙）；（体育比赛中的）银杯
month,n.月；月份；约 30 天的时间；一个月的时间
robbing,"v.抢劫；掠夺；抢夺；盗劫
n.罗布；【男名】男子名"
sleep,"n.睡眠；睡眠时间；眼眵
v.睡；入睡；为…提供床位"
aw,"abbr.(=Articles of War)(美国)陆军法规
int.（表示不满、抗议或同情等）呀"
llc,abbr.(=Limited Liability Company)【商】有限责任公司
barbecue,"n.户外烧烤；（户外烧烤用的）烤架
v.（在烤架上）烧烤"
appetite,n.胃口；食欲；强烈欲望
conversation,n.（非正式）交谈
hate,"v.讨厌；憎恨；不想
n.憎恨；仇恨；厌恶；所憎恶的人（或事物）"
aggression,n.侵略；侵犯；攻击性；好斗情绪
extra,"adv.额外；特别；另外；格外
adj.额外的；分外的；外加的；附加的
n.额外的事物；另外收费的事物；群众演员"
hurry,"v.赶快；（朝某方向）迅速移动；催促（某人）；迅速处理
n.匆忙；急忙"
buddy,"n.〈非正式〉好友；知音；搭档；同伴
v.交朋友"
electricity,n.电；电能；强烈的感情；激动
father,"n.父亲；爸爸；天父；上帝
v.成为父亲；做父亲；创立（新思想）；创造"
disgusting,"adj.极糟的；令人不快的；令人厌恶的；令人气愤的
v.“disgust”的现在分词"
send,"v.发送；打发；派遣；邮寄
n.波浪的推(进)力；船的纵摇"
lord,"n.主；主人；领主；大人
v.作威作福"
sorry,"adj.难过；惋惜；同情；歉疚
int.（道歉时用）很抱歉；（请某人重复你没听清楚的话）你说什么；应该是"
worth,"n.价值；意义；价值（十元、40 英镑等）的东西
adj.有…价值；值…钱；（指行动）值得；值得（费周折）
v.〈古〉同“befall. Woe worth the day”"
fly,"adj.机灵的；机警的；不会上当的；时髦迷人的
n.蝇；苍蝇；（作钓饵的）苍蝇；（裤子的）前裆开口
v.飞；飞翔；航行；（乘航空器或航天器）航行"
woman,"n.妇女；妻子；成年女子；（泛指）女性
adj.妇女的；女性的
v.对(女人)打招呼；为…配备女操作人员[女船员等]"
cruising,"v.巡航；漫游；(营业汽车)在街上慢行兜揽生意；〈美〉森林勘查
n.巡航；周游"
string,"n.字符串；弦；线；一连串
v.悬挂；系；扎；把…连在一起
adj.由弦乐器组成的；弦乐器的；线织的；线的"
song,n.歌；歌曲；歌唱；声乐
caught,v.“catch”的过去式和过去分词
choice,"n.选择；抉择；挑选；选择权
adj.优质的；上等的；优选的；（质量）中上等的"
spoon,"n.勺；匙；调羹
v.用勺舀"
worst,"adv.最坏；最严重；最糟
adj.最差的；最坏的；最糟的
n.（可能发生的）最严重的事；最坏的部分（或情况、可能性等）
v.（在打斗、比赛或辩论中）打败对方"
bustle,"n.喧闹；忙乱嘈杂；（旧时女子用的）裙撑
v.四下忙碌；催促（某人向某方向）"
telling,"n.讲
adj.强有力的；有明显效果的；显著的；生动的
v.“tell”的现在分词"
join,"v.加入；参加；连接；参与
n.连接处；接合点"
screaming,"adj.尖声怪气地叫的；发尖锐刺耳声音的；使人笑破肚皮的；非常可笑的
v.“scream”的现在分词"
fan,"n.风扇；迷；扇子；狂热爱好者
v.扇；激起；扇（风）；煽起"
minute,"adj.极小的；微小的；细微的；细致入微的
n.一会儿工夫；刹那；备忘录；(会议)记录
v.记下；精确地测定…的时间"
cool,"v.冷却；冷静下来；镇静下来；冷淡下来
adj.凉的；凉爽的；凉快的；使人感到凉爽的
n.凉气；凉快的地方"
entire,"n.全部；整体；〈英〉一种黑啤酒；种马
adj.全部的；整个的；完全的"
basics,n.基本因素（或原理、原则、规律等）；基本设施；基本需要
did,"n.【精】分裂性身份错乱；【科技】直接拨入
v.""do""的过去式和过去分词"
turns,"v.转；变；转向；生产
n.轮流；转向；转身；变化"
notes,"n.笔记；注释；音符；注意
v.笔录；注目；特别提到；表明
abbr.(=noe of the above)把选票上的名字全勾掉"
gun,"n.枪；炮；喷枪；喷射器
v.快速运转；使（车辆）加速"
keepers,n.门将；看守人；(动物园的)饲养员；(博物馆)保管人
leave,"v.离开（某人或某处）；离开居住地点（或群体、工作单位等）；遗弃；丢弃
n.假期；休假；准许；许可"
quick,"adj.快的；迅速的；短暂的；敏捷的
adv.迅速地；快速地；…敏捷的；…迅速的
n.（指甲下的）活肉"
guy,"n.家伙；男人；小伙子；拉索
v.逃走；用支索撑住；嘲笑；〈英〉把(某人)制成模拟像嘲弄"
hustle,"v.推搡；猛推；催促（某人作决定）；（常指非法地）兜售
n.忙碌喧嚣"
dip,"n.游一游；泡一泡；下降；凹陷处
v.蘸；浸；（使）下降；把（汽车前灯的）远光调为近光"
still,"adv.仍然；还；还是；依旧
conj.然而
adj.静止的；平静的；安静的；寂静的
v.安静
n.剧照；（电影或录像的）定格画面；（制酒的）蒸馏器"
chew,"v.咀嚼；嚼碎；（因为紧张等）咬住；（为尝味道）不停地咀嚼
n.咀嚼；口香糖；供嚼用的烟草"
work,"n.工作；作品；劳动；功
v.劳动；干活；奏效；运行"
sign,"v.签名；签署；叹息；预示
n.符号；信号；表示；招牌"
past,"n.过去；昔日；过去的事情；（某人）过去的经历（或事业）
prep.超过；晚于；在…之后；在另一边
adv.经过；逝去；从一侧到另一侧
adj.过去的；昔日的；刚过去的；刚结束的
v.“pass”的过去分词"
second,"adv.其次；第二（的）；（重要性、规模、质量等）居第二位的；另外的
n.瞬间；片刻；秒（时间单位）；秒（角度单位）
v.附议；临时调派
adj.别的；次(的)；副(的)；从属的"
street,"n.街道；大街；（尤指城市里）街头民意
adj.街头的"
video,"n.视频；录影；录像带；盒式录像带
v.录电视节目；给…录像
adj.电视(用)的"
arms,"n.武器；兵器
v.“arm”的第三人称单数"
click,"v.单击；（使）发出咔哒声；被突然明白；豁然开朗
n.单击；短而尖的声音；咔哒（或咔嚓）声"
toilet,n.厕所；马桶；梳妆；清洗伤口
what,"pron.什么；多么；真；…的事物
adj.什么；多少；关系形容词
adv.多少
conj.同“as much as. He helps me what he can”"
hide,"v.藏；掩盖；躲避；遮住
n.藏身处；（尤指买卖或用作皮革的）皮；人身安全"
nana,"n.呆子；傻瓜
abbr.(=North American Newspaper Alliance)北美报业联盟"
worshipping,"n.崇拜；【宗】礼拜；礼拜仪式；〈英〉阁下
v.崇拜；敬爱；【宗】礼拜；做礼拜"
ffff,web.Flash Forward Film Festival; 土; 反反复复
felt,"n.毛毡
v.“feel”的过去式和过去分词；把…制成毡；用毡遮盖；粘结起来
adj.毡制的；可以[显然]感觉到的"
enjoyed,v.享受；欣赏
rub,"n.擦；抹；搓；揉
v.擦；磨；搓；（使）相互磨擦"
belching,"v.打嗝；态度蛮横地发出(叱咤等)；(火山等)猛烈喷射；谈
n.打嗝；爆发(声)；劣质啤酒"
above,"n.上；天上；前述
adv.上文；在（或向）上面；在（或向）较高处；更多
prep.胜过；大于；在（或向）…上面；（因善良或诚实正直而）不至于
adj.前文述及的；上述的"
new,"adj.刚出现的；新的；新近推出的；新买的
n.新东西；新事物
abbr.〈美(=net economic welfare)纯经济福利
adv.同“newly”"
net,"adj.无虚价的；基本的；最后的；最后的(定论)
n.纯利；净值；实价；纯量
v.编网；编结网状物；〔诗〕成网状；撒(网)"
ground,"n.地面；土；土地；土壤
v.触海底；使停飞；阻止…起飞；罚（儿童）不准出去玩
adj.磨细的；剁碎的"
ever,adv.曾经；从来；总是；到底
filled,"adj.满的；充气的；加载的
v.“fill”的过去式和过去分词"
growls,"v.咆哮；怒吼；鸣不平；(雷)发隆隆声
n.隆隆声；咆哮；不平"
clears,"adj.透明的；爽朗的；皎洁的；清楚的
v.澄清；扫除；赶走；打发掉
adv.清楚地；离开；一直
n.同“clearance”；【机】间隙；【建】中空体内部的尺寸"
